"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant","RCRA Hazardous Waste Sites"
"2381","2011BAZ85","AAA ACTION PAINTING","2795 PARK LN","EAGLE","Ada","RCRA Hazardous Waste Sites","43.720236","-116.404569","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2382","2011BAZ86","AAA COLLISION REPAIR","111 W 43RD ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.631315","-116.253603","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2382","2011BAZ86","AAA COLLISION REPAIR","111 W 43RD ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.631315","-116.253603","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2384","2011BAZ88","AAA PAINTING","1515 E MCMILLAN RD","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.64782","-116.376055","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2385","2011BAZ89","AAA PUMPING","HWY 95 10 MI S OF RIGGINS","RIGGINS","Idaho","RCRA Hazardous Waste Sites","","","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"8086","2011BAZ92","AAMCO TRANSMISSION CDA","415 N 3RD ST","COEUR D ALENE","Kootenai","RCRA Hazardous Waste Sites","47.676523","-116.782928","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"7900","2011BAZ94","AAMCO TRANSMISSIONS","8486 W FAIRVIEW AVE","BOISE","Ada","RCRA Hazardous Waste Sites","43.61629","-116.20837","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2388","2011BAZ95","AAPEX CONSTRUCTION INC","301 SPOKANE ST","POST FALLS","Kootenai","RCRA Hazardous Waste Sites","47.708214","-116.948100","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"3476","2011BAZ2205","ABANDONED FRANKLIN CO SUGAR CO","1699 S 1300 E(1/4 MI SW OF HWY 91 AND 1400 S INTERSECTION)","PRESTON","Franklin","RCRA Hazardous Waste Sites","42.067703","-111.844461","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2389","2011BAZ97","ABATEMENT PRO INC","4149 S CUBOLA AVE","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.567193","-116.357589","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2390","2011BAZ99","ABC AUTO CLINIC","2831 POCATELLO AVE","AMERICAN FALLS","Power","RCRA Hazardous Waste Sites","42.788588","-112.841393","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2391","2011BAZ100","ABC INDUSTRIAL","669 W QUINN RD BLDG 1","POCATELLO","Bannock","RCRA Hazardous Waste Sites","42.905155","-112.460484","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2399","2011BAZ109","ABERDEEN SPRINGFIELD CANAL CO","3 MI S of Aberdeen on HWY 39 (144 S MAIN ST )","ABERDEEN","Bingham","RCRA Hazardous Waste Sites","42.941900","-112.838738","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2401","2011BAZ112","ABERDEEN WW TREATMENT PLANT","SE OF CITY","ABERDEEN","Bingham","RCRA Hazardous Waste Sites","42.94114","-112.825868","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2393","2011BAZ103","ABE RED BLUFF ROCKET CLAIMS","VALLEY CNTY","CASCADE","Valley","RCRA Hazardous Waste Sites","","","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"13958","2011BAZ64","A & B IRRIGATION DIST","414 11TH ST (11TH & E ST)","RUPERT","Minidoka","RCRA Hazardous Waste Sites","42.623","-113.673","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
